id,contributor,province,city,suburb,name,address
,Zhiyuan Chen,北京市,东城区,东城区,北京市和平里医院,
,Zhiyuan Chen,北京市,东城区,东城区,北京市隆福医院,
,Zhiyuan Chen,北京市,东城区,东城区,北京市普仁医院,
,Zhiyuan Chen,北京市,东城区,东城区,被进医院,
,Zhiyuan Chen,北京市,东城区,东城区,首都医科大学附属北京同仁医院,
,Zhiyuan Chen,北京市,东城区,东城区,中国医学科学院北京协和医院,
,Zhiyuan Chen,北京市,西城区,西城区,北京大学人民医院,
,Zhiyuan Chen,北京市,西城区,西城区,北京积水潭医院,
,Zhiyuan Chen,北京市,西城区,西城区,北京市监狱管理局清河分局医院,
,Zhiyuan Chen,北京市,西城区,西城区,北京市键宫医院,
,Zhiyuan Chen,北京市,西城区,西城区,北京市西城区广外医院,
,Zhiyuan Chen,北京市,西城区,西城区,首都医科大学附属北京儿童医院,
,Zhiyuan Chen,北京市,西城区,西城区,首都医科大学附属北京友谊医院,
,Zhiyuan Chen,北京市,西城区,西城区,首都医科大学附属复兴医院,
,Zhiyuan Chen,北京市,西城区,西城区,首都医科大学宣武医院,
,Zhiyuan Chen,北京市,西城区,西城区,中国中医科学院广安门医院,
,Zhiyuan Chen,北京市,西城区,西城区,北京大学第一医院,
,Zhiyuan Chen,北京市,海淀区,海淀区,北京大学第三医院,
,Zhiyuan Chen,北京市,海淀区,海淀区,北京大学医院,
,Zhiyuan Chen,北京市,海淀区,海淀区,北京老年医院,
,Zhiyuan Chen,北京市,海淀区,海淀区,北京市海淀医院,
,Zhiyuan Chen,北京市,海淀区,海淀区,北京市化工职业病防治医院,
,Zhiyuan Chen,北京市,海淀区,海淀区,北京市上地医院,
,Zhiyuan Chen,北京市,海淀区,海淀区,北京市社会福利医院,
,Zhiyuan Chen,北京市,海淀区,海淀区,北京水利医院,
,Zhiyuan Chen,北京市,海淀区,海淀区,北京四季青医院,
,Zhiyuan Chen,北京市,海淀区,海淀区,航天中心医院,
