id,contributor,province,city,suburb,name,address,phone
,Zhiyuan Chen,湖北省,武汉市,江岸区,武汉市中医医院,,027-82857342
,Zhiyuan Chen,湖北省,武汉市,江岸区,中部战区总医院（汉口院区）,,027-50660023
,Zhiyuan Chen,湖北省,武汉市,江岸区,长江航运总医院,,027-82451362
,Zhiyuan Chen,湖北省,武汉市,江岸区,武汉市第八医院,,027-82730201
,Zhiyuan Chen,湖北省,武汉市,江岸区,武汉市中心医院,,027-82211246
,Zhiyuan Chen,湖北省,武汉市,江岸区,武汉市汉口医院,,027-51175179
,Zhiyuan Chen,湖北省,武汉市,江岸区,武汉市儿童医院,,027-82433390
,Zhiyuan Chen,湖北省,武汉市,江岸区,武汉市第六医院,,027-82419049
,Zhiyuan Chen,湖北省,武汉市,江汉区,华中科技大学同济医学院附属协和医院,,027-85726911
,Zhiyuan Chen,湖北省,武汉市,江汉区,湖北省中西医结合医院,,027-65600873
,Zhiyuan Chen,湖北省,武汉市,江汉区,武汉市中心医院（后湖院区）,,027-82857342
,Zhiyuan Chen,湖北省,武汉市,江汉区,武汉市红十字会医院,,027-85877677
,Zhiyuan Chen,湖北省,武汉市,江汉区,武汉亚洲心脏病医院,,027-65796888
,Zhiyuan Chen,湖北省,武汉市,硚口区,华中科技大学同济医学院附属同济医院,,027-83662688
,Zhiyuan Chen,湖北省,武汉市,硚口区,湖北省第三人民医院,,027-83745741
,Zhiyuan Chen,湖北省,武汉市,硚口区,武汉市第一医院,,027-85860666
,Zhiyuan Chen,湖北省,武汉市,硚口区,武汉市第四医院,,027-83782519
,Zhiyuan Chen,湖北省,武汉市,硚口区,武汉市肺科医院,,027-83660176
,Zhiyuan Chen,湖北省,武汉市,汉阳区,武汉市第五医院,,027-84812615
,Zhiyuan Chen,湖北省,武汉市,汉阳区,武汉市汉阳医院,,027-84769966
,Zhiyuan Chen,湖北省,武汉市,汉阳区,武汉市中医医院（汉阳院区）,,027-84476928
,Zhiyuan Chen,湖北省,武汉市,汉阳区,武汉龙阳医院,,027-84677507
,Zhiyuan Chen,湖北省,武汉市,武昌区,武汉大学人民医院,,027-88041911
,Zhiyuan Chen,湖北省,武汉市,武昌区,武汉市中南医院,,027-67813022
,Zhiyuan Chen,湖北省,武汉市,武昌区,武汉科技大学附属天佑医院,,027-51228666
,Zhiyuan Chen,湖北省,武汉市,武昌区,湖北省中医院,,027-88929419?
,Zhiyuan Chen,湖北省,武汉市,武昌区,武汉市第三医院,,027-68894816
,Zhiyuan Chen,湖北省,武汉市,武昌区,武汉市武昌医院,,027-88114561
,Zhiyuan Chen,湖北省,武汉市,武昌区,武汉市第七医院,,027-87362027
,Zhiyuan Chen,湖北省,武汉市,武昌区,武警湖北省总队医院,,027-50723099
,Zhiyuan Chen,湖北省,武汉市,武昌区,解放军中部战区总医院,,027-50778888
,Zhiyuan Chen,湖北省,武汉市,青山区,华润武钢总医院,,027-86487354
,Zhiyuan Chen,湖北省,武汉市,青山区,武汉市普仁医院,,027-86861999?
,Zhiyuan Chen,湖北省,武汉市,青山区,武汉市武东医院,,027-50528362
,Zhiyuan Chen,湖北省,武汉市,青山区,武汉市第九医院,,027-68865483
,Zhiyuan Chen,湖北省,武汉市,青山区,武汉市石化医院,,027-86599505
,Zhiyuan Chen,湖北省,武汉市,洪山区,武汉市第三医院（光谷院区）,,027-65399492
,Zhiyuan Chen,湖北省,武汉市,洪山区,湖北省中医院（光谷院区）,,027-87748001
,Zhiyuan Chen,湖北省,武汉市,洪山区,湖北省妇幼保健院,,027-87169068
,Zhiyuan Chen,湖北省,武汉市,洪山区,湖北省荣军医院,,027-87800387
,Zhiyuan Chen,湖北省,武汉市,东湖高新区,华中科技大学同济医学院附属同济医院（光谷院区）,,027-63639393
,Zhiyuan Chen,湖北省,武汉市,东湖高新区,武汉大学人民医院（东院）,,027-88041911-83073
,Zhiyuan Chen,湖北省,武汉市,东湖风景区,华中科技大学同济医院附属梨园医院,,027-86779910?
,Zhiyuan Chen,湖北省,武汉市,蔡甸区,武汉市蔡甸区人民医院,,027-84905996
,Zhiyuan Chen,湖北省,武汉市,蔡甸区,武汉市蔡甸区中医医院,,027-84943945
,Zhiyuan Chen,湖北省,武汉市,蔡甸区,武汉济和医院,,027-66662066
,Zhiyuan Chen,湖北省,武汉市,蔡甸区,华中科技大学同济医学院附属同济医院（中法新城院区）,,027-69378084
,Zhiyuan Chen,湖北省,武汉市,江夏区,武汉市江夏区第一人民医院,,027-87959146
,Zhiyuan Chen,湖北省,武汉市,江夏区,武汉市江夏区中医医院,,027-87952846
,Zhiyuan Chen,湖北省,武汉市,江夏区,江夏区纸坊街社区卫生服务中心,,027-87952502
,Zhiyuan Chen,湖北省,武汉市,东西湖区,武汉市东西湖区人民医院,,027-83892010
,Zhiyuan Chen,湖北省,武汉市,东西湖区,武汉太康医院,,027-83081308
,Zhiyuan Chen,湖北省,武汉市,新洲区,武汉市新洲区人民医院,,027-86921811
,Zhiyuan Chen,湖北省,武汉市,新洲区,湖北省第三人民医院阳逻院区,,027-86961120
,Zhiyuan Chen,湖北省,武汉市,新洲区,武汉市新洲区中医医院,,027-86922482
,Zhiyuan Chen,湖北省,武汉市,黄陂区,武汉市黄陂区人民医院,,027-85931736
,Zhiyuan Chen,湖北省,武汉市,黄陂区,武汉市黄陂区中医医院,,027-85912372
,Zhiyuan Chen,湖北省,武汉市,武汉经济技术开发区,华中科技大学同济医学院附属协和医院（西院）,,027-84289562?
,Zhiyuan Chen,湖北省,武汉市,武汉经济技术开发区,武汉亚心总医院,,027-84788999
,Zhiyuan Chen,湖北省,武汉市,武汉经济技术开发区,武汉市汉南区人民医院,,027-84851406
,Zhiyuan Chen,湖北省,黄石市,城区,黄石市第二医院,,0714-6510960
,Zhiyuan Chen,湖北省,黄石市,城区,黄石市第五医院,,0714-5317323
,Zhiyuan Chen,湖北省,黄石市,城区,黄石市第四医院,,0714-5418253
,Zhiyuan Chen,湖北省,黄石市,城区,黄石爱康医院,,0714-6221378
,Zhiyuan Chen,湖北省,黄石市,城区,黄石市妇幼保健院,,0714-6350865
,Zhiyuan Chen,湖北省,黄石市,城区,黄石有色医院,,0714-5392271
,Zhiyuan Chen,湖北省,黄石市,城区,黄石普仁医院,,0714-6538398
,Zhiyuan Chen,湖北省,黄石市,城区,华新医院,,0714-3806519
,Zhiyuan Chen,湖北省,黄石市,城区,大冶铁矿医院,,0714-3810722
,Zhiyuan Chen,湖北省,黄石市,大冶市,大冶市中医医院,,0714-8712263
,Zhiyuan Chen,湖北省,黄石市,阳新县,阳新县中医医院,,0714-7323523
,Zhiyuan Chen,湖北省,十堰市,茅箭区,十堰市太和医院,,0719-8801332
,Zhiyuan Chen,湖北省,十堰市,茅箭区,,,? ?
,Zhiyuan Chen,湖北省,十堰市,茅箭区,十堰市人民医院,,0719-8637828
,Zhiyuan Chen,湖北省,十堰市,茅箭区,十堰市中医医院,,0719-8788248
,Zhiyuan Chen,湖北省,十堰市,茅箭区,十堰市妇幼保健院,,0719-8125999
,Zhiyuan Chen,湖北省,十堰市,茅箭区,国药东风茅箭医院,,0719-8209095/8236123
,Zhiyuan Chen,湖北省,十堰市,茅箭区,茅箭区人民医院,,0719-8797463
,Zhiyuan Chen,湖北省,十堰市,张湾区,国药东风总医院,,0719-8272530
,Zhiyuan Chen,湖北省,十堰市,张湾区,十堰市中西医结合医院,,0719-8615107
,Zhiyuan Chen,湖北省,十堰市,张湾区,十堰市西苑医院,,0719-8581600
,Zhiyuan Chen,湖北省,十堰市,张湾区,国药东风花果医院,,0719-8235285
,Zhiyuan Chen,湖北省,十堰市,十堰经济技术开发区,十堰经济开发区人民医院,,0719-8317966
,Zhiyuan Chen,湖北省,十堰市,武当山经济特区,太和医院武当山院区,,0719-5666722
,Zhiyuan Chen,湖北省,十堰市,丹江口市,丹江口市第一医院,,0719—5229621
,Zhiyuan Chen,湖北省,十堰市,丹江口市,丹江口市中医医院,,0719-5524381
,Zhiyuan Chen,湖北省,十堰市,丹江口市,丹江口市妇幼保健院,,0719-5259619
,Zhiyuan Chen,湖北省,十堰市,丹江口市,国药汉江医院,,0719-5375154
,Zhiyuan Chen,湖北省,十堰市,丹江口市,十堰市铁路医院,,0719-5717863
,Zhiyuan Chen,湖北省,十堰市,郧阳区,郧阳区人民医院,,0719-7100203
,Zhiyuan Chen,湖北省,十堰市,郧阳区,郧阳区中医医院,,0719-7229019
,Zhiyuan Chen,湖北省,十堰市,郧阳区,郧阳区妇幼保健院,,0719-7228120
,Zhiyuan Chen,湖北省,十堰市,郧阳区,,,? ?
,Zhiyuan Chen,湖北省,十堰市,郧西县,郧西县人民医院,,0719-6206160
,Zhiyuan Chen,湖北省,十堰市,郧西县,郧西县中医医院,,0719-6235120
,Zhiyuan Chen,湖北省,十堰市,郧西县,郧西县妇幼保健院,,0719-6223120
,Zhiyuan Chen,湖北省,十堰市,竹山县,竹山县人民医院,,0719-4222430
,Zhiyuan Chen,湖北省,十堰市,竹山县,竹山县中医医院,,0719-4106120
,Zhiyuan Chen,湖北省,十堰市,竹山县,竹山县妇幼保健院,,0719-4216551
,Zhiyuan Chen,湖北省,十堰市,竹溪县,竹溪县人民医院,,0719-2730049
,Zhiyuan Chen,湖北省,十堰市,竹溪县,竹溪县中医院,,0719-2731261
,Zhiyuan Chen,湖北省,十堰市,竹溪县,竹溪县妇幼保健院,,0719-2726415
,Zhiyuan Chen,湖北省,十堰市,房县,房县人民医院,,0719-3248578
