id,contributor,province,city,suburb,name,address,phone
,Yuchen Zheng,湖南省,长沙市,开福区,长沙市公共卫生救治中心,长沙市开福区高源村(长沙市第一医院分院),0731-86678120
,Yuchen Zheng,湖南省,长沙市,长沙县,长沙县第一人民医院,长沙市长沙县路口镇三惠路157号,0731-86105013
,Yuchen Zheng,湖南省,长沙市,望城区,望城区人民医院,长沙市望城区高塘岭镇郭亮北路126号,
,Yuchen Zheng,湖南省,长沙市,浏阳市,浏阳市人民医院,长沙市浏阳市人民中路119号,0731-83626777
,Yuchen Zheng,湖南省,长沙市,宁乡市,宁乡市人民医院,长沙市宁乡市玉潭镇一环西路209号,0731-87871511
,Yuchen Zheng,湖南省,株洲市,天元区,株洲市中心医院,株洲市天元区长江南路116号,0731-28219219
,Yuchen Zheng,湖南省,株洲市,石峰区,株洲市二医院,株洲市石峰区响田东路229号,0731-28307111
,Yuchen Zheng,湖南省,株洲市,渌口区,渌口区第一人民医院,株洲市渌口区211省道路东,0731-27618212
,Yuchen Zheng,湖南省,株洲市,醴陵市,醴陵市中医院,株洲市醴陵市瓷城大道3号,0731-23232318
,Yuchen Zheng,湖南省,株洲市,攸县,攸县人民医院,株洲市攸县城关镇交通北路29号,0731-24232259
,Yuchen Zheng,湖南省,株洲市,茶陵县,茶陵县人民医院,株洲市茶陵县交通街43号,0731-25213221
,Yuchen Zheng,湖南省,株洲市,炎陵县,炎陵县人民医院,株洲市炎陵县霞阳镇霞阳镇解放路,0731-26221942
,Yuchen Zheng,湖南省,湘潭市,雨湖区,湘潭市中心医院,湘潭市雨湖区和平路120号,0731-58214998
,Yuchen Zheng,湖南省,湘潭市,岳塘区,湘潭市第一人民医院,湘潭市岳塘区书院路100号,
,Yuchen Zheng,湖南省,湘潭市,湘潭县,湘潭县人民医院,湘潭市湘潭县玉兰南路817号,
,Yuchen Zheng,湖南省,湘潭市,湘乡市,湘乡市人民医院,湘潭市湘乡市健康西路,
,Yuchen Zheng,湖南省,湘潭市,韶山市,湘潭市韶山医院,湘潭市韶山市清溪镇民主路7号,
,Yuchen Zheng,湖南省,衡阳市,石鼓区,衡阳市第三人民医院,衡阳市石鼓区草后街182号,
,Yuchen Zheng,湖南省,衡阳市,石鼓区,南华大学附属第一医院,衡阳市石鼓区船山路69号,
,Yuchen Zheng,湖南省,衡阳市,南岳区,南华大学附属第三医院,衡阳市南岳区衡山路377号,
,Yuchen Zheng,湖南省,衡阳市,衡南县,衡南县人民医院,衡阳市衡南县云集镇正德路,
,Yuchen Zheng,湖南省,衡阳市,衡东县,衡东县人民医院,衡阳市衡东县兴衡西路20号,
,Yuchen Zheng,湖南省,衡阳市,衡阳县,衡阳县人民医院,衡阳市衡阳县新正东路53号,
,Yuchen Zheng,湖南省,衡阳市,衡山县,衡山县人民医院,衡阳市衡山县开云镇白石巷7号,
,Yuchen Zheng,湖南省,衡阳市,耒阳市,耒阳市人民医院,衡阳市耒阳市城北东路98号,
,Yuchen Zheng,湖南省,衡阳市,常宁市,常宁市人民医院,衡阳市常宁市培元街道办事处群英西路19号,
,Yuchen Zheng,湖南省,衡阳市,祁东县,祁东县人民医院,衡阳市祁东县鼎山东路79号,
,Yuchen Zheng,湖南省,邵阳市,大祥区,邵阳市中心医院,邵阳市大祥区红旗路乾元巷36号,
,Yuchen Zheng,湖南省,邵阳市,双清区,邵阳学院第一附属医院,邵阳市双清区通衡街39号,
,Yuchen Zheng,湖南省,邵阳市,邵东市,邵东市人民医院,邵阳市邵东市两市镇人民路95号,
,Yuchen Zheng,湖南省,邵阳市,隆回县,隆回县人民医院,邵阳市隆回县桃洪镇朝阳路132号,
,Yuchen Zheng,湖南省,邵阳市,邵阳县,邵阳县人民医院,邵阳市邵阳县207国道与福康大道交汇处附近,
,Yuchen Zheng,湖南省,邵阳市,新邵县,新邵县人民医院,邵阳市新邵县酿溪镇新阳路33号,
,Yuchen Zheng,湖南省,邵阳市,洞口县,洞口县人民医院,邵阳市洞口县双洲路122号,
,Yuchen Zheng,湖南省,邵阳市,武冈市,武冈市人民医院,邵阳市武冈市乐洋路57号,
,Yuchen Zheng,湖南省,邵阳市,新宁县,新宁县人民医院,邵阳市新宁县广场路36号,
,Yuchen Zheng,湖南省,邵阳市,绥宁县,绥宁县人民医院,邵阳市绥宁县长铺镇东正路42号,
,Yuchen Zheng,湖南省,邵阳市,城步苗族自治县,城步苗族自治县人民医院,邵阳市城步苗族自治县城西路2号,
,Yuchen Zheng,湖南省,岳阳市,岳阳楼区,岳阳市一人民医院,岳阳市岳阳楼区东茅岭路39号,
,Yuchen Zheng,湖南省,岳阳市,汨罗市,屈原管理区人民医院,岳阳市汨罗市屈原管理区,
,Yuchen Zheng,湖南省,岳阳市,华容县,华容县人民医院,岳阳市华容县华鲇路,
,Yuchen Zheng,湖南省,岳阳市,君山区,君山区人民医院,岳阳市君山区旅游路,
,Yuchen Zheng,湖南省,岳阳市,临湘市,临湘市人民医院,岳阳市临湘市长安西路25号,
,Yuchen Zheng,湖南省,岳阳市,岳阳县,岳阳县人民医院,岳阳市岳阳县团结路5号,
,Yuchen Zheng,湖南省,岳阳市,云溪区,岳阳市四人民医院,岳阳市云溪区开泰路,
,Yuchen Zheng,湖南省,岳阳市,汨罗市,汨罗市人民医院,岳阳市汨罗市人民路44号,
,Yuchen Zheng,湖南省,岳阳市,平江县,平江县第一人民医院,岳阳市平江县城关镇北街431号,
,Yuchen Zheng,湖南省,岳阳市,湘阴县人民医院,湘阴县人民医院,岳阳市湘阴县旭东北路(湘水芙蓉城东北),
,Yuchen Zheng,湖南省,常德市,武陵区,常德市第一人民医院,常德市武陵区人民路818号,
,Yuchen Zheng,湖南省,常德市,武陵区,常德市第二人民医院,常德市武陵区德山经济技术开发区德山大道413号,
,Yuchen Zheng,湖南省,常德市,鼎城区,常德市第四人民医院南区,常德市鼎城区金霞路与319国道交汇处东南100米,
,Yuchen Zheng,湖南省,常德市,安乡县,安乡县人民医院,常德市安乡县深柳镇潺陵东路县公安局北对面,
,Yuchen Zheng,湖南省,常德市,桃源县,桃源县人民医院,常德市桃源县漳江镇横东街2号,
,Yuchen Zheng,湖南省,常德市,石门县,石门县人民医院,常德市石门县楚江街道渫阳路45号,
,Yuchen Zheng,湖南省,常德市,汉寿县,汉寿县第三人民医院,常德市汉寿县杨幺路北50米,
,Yuchen Zheng,湖南省,常德市,临澧县,临澧县人民医院,常德市临澧县金风东路,
,Yuchen Zheng,湖南省,常德市,津市市,津市市人民医院,常德市津市市孟姜女大道19号,
,Yuchen Zheng,湖南省,常德市,澧县,澧县人民医院,常德市澧县新河路,
,Yuchen Zheng,湖南省,张家界市,永定区,张家界市人民医院,张家界市永定区古庸路192号,
,Yuchen Zheng,湖南省,张家界市,慈利县,慈利县人民医院,张家界市慈利县东街,
,Yuchen Zheng,湖南省,张家界市,桑植县,桑植县人民医院,张家界市桑植县大桥路与230省道交叉口南100米,
,Yuchen Zheng,湖南省,益阳市,赫山区,益阳市第四人民医院,益阳市赫山区金山路453号,
,Yuchen Zheng,湖南省,益阳市,安化县,安化县人民医院,益阳市安化县东坪镇迎春路7号,
,Yuchen Zheng,湖南省,益阳市,桃江县,桃江县人民医院,益阳市桃江县桃花西路16号,
,Yuchen Zheng,湖南省,益阳市,南县,南县人民医院,益阳市南县学宫路38号,
,Yuchen Zheng,湖南省,益阳市,沅江市,沅江市人民医院,益阳市沅江市桔城大道跟狮山路交汇处,
,Yuchen Zheng,湖南省,郴州市,北湖区,郴州市第一人民医院,郴州市北湖区国庆南路34号附近,
,Yuchen Zheng,湖南省,郴州市,苏仙区,郴州市第二人民医院,郴州市苏仙区东塔路,
,Yuchen Zheng,湖南省,郴州市,资兴市,资兴市第一人民医院,郴州市资兴市唐洞新区,
,Yuchen Zheng,湖南省,郴州市,桂阳县,桂阳县第一人民医院,郴州市桂阳县芙蓉西路18号,
,Yuchen Zheng,湖南省,郴州市,宜章县,宜章县人民医院,郴州市宜章县城关镇文明南路17号,
,Yuchen Zheng,湖南省,郴州市,永兴县,永兴县人民医院,郴州市永兴县大桥路11号,
,Yuchen Zheng,湖南省,郴州市,嘉禾县,嘉禾县人民医院,郴州市嘉禾县珠泉东路9号,
,Yuchen Zheng,湖南省,郴州市,临武县,临武县人民医院,郴州市临武县韩山北路48号,
,Yuchen Zheng,湖南省,郴州市,汝城县,汝城县人民医院,郴州市汝城县三江大道与卢阳大道交叉口南100米,
,Yuchen Zheng,湖南省,郴州市,桂东县,桂东县人民医院,郴州市桂东县桂郴路31号,
,Yuchen Zheng,湖南省,郴州市,安仁县,安仁县人民医院,郴州市安仁县安仁大道,
,Yuchen Zheng,湖南省,永州市,冷水滩区,永州市中心医院,永州市冷水滩区永州大道与逸云路交叉口东50米,
