id,contributor,province,city,suburb,name,address
,Zhiyuan Chen,上海市,黄浦区,黄浦区,上海交通大学医学院附属第九人民医院,
,Zhiyuan Chen,上海市,黄浦区,黄浦区,上海交通大学医学院附属瑞金医院,
,Zhiyuan Chen,上海市,黄浦区,黄浦区,海军军医大学第二附属医院,
,Zhiyuan Chen,上海市,黄浦区,黄浦区,上海交通大学医学院附属瑞金医院卢湾分院,
,Zhiyuan Chen,上海市,徐汇区,徐汇区,复旦大学附属中山医院,
,Zhiyuan Chen,上海市,徐汇区,徐汇区,上海市第六人民医院,
,Zhiyuan Chen,上海市,徐汇区,徐汇区,上海中医药大学附属龙华医院,
,Zhiyuan Chen,上海市,徐汇区,徐汇区,上海市第八人民医院,
,Zhiyuan Chen,上海市,徐汇区,徐汇区,徐汇区中心医院,
,Zhiyuan Chen,上海市,徐汇区,徐汇区,徐汇区大华医院,
,Zhiyuan Chen,上海市,长宁区,长宁区,海军第九〇五医院,
,Zhiyuan Chen,上海市,长宁区,长宁区,上海电力医院,
,Zhiyuan Chen,上海市,长宁区,长宁区,北新泾街道社区卫生服务中心,
,Zhiyuan Chen,上海市,长宁区,长宁区,上海市同仁医院,
,Zhiyuan Chen,上海市,长宁区,长宁区,长宁区天山中医医院,
,Zhiyuan Chen,上海市,静安区,静安区,静安区中心医院,
,Zhiyuan Chen,上海市,静安区,静安区,静安区闸北中心医院,
,Zhiyuan Chen,上海市,静安区,静安区,静安区市北医院,
,Zhiyuan Chen,上海市,静安区,静安区,复旦大学附属华山医院,
,Zhiyuan Chen,上海市,静安区,静安区,华东医院,
,Zhiyuan Chen,上海市,静安区,静安区,上海市第十人民医院,
,Zhiyuan Chen,上海市,静安区,静安区,上海市中医医院,
,Zhiyuan Chen,上海市,杨浦区,杨浦区,海军军医大学第一附属医院,
,Zhiyuan Chen,上海市,杨浦区,杨浦区,上海市肺科医院,
,Zhiyuan Chen,上海市,杨浦区,杨浦区,杨浦区中心医院,
,Zhiyuan Chen,上海市,杨浦区,杨浦区,杨浦区市东医院,
,Zhiyuan Chen,上海市,杨浦区,杨浦区,杨浦区控江医院,
,Zhiyuan Chen,上海市,杨浦区,杨浦区,上海交通大学医学院附属新华医院,
,Zhiyuan Chen,上海市,虹口区,虹口区,上海市第一人民医院,
,Zhiyuan Chen,上海市,虹口区,虹口区,上海市中西医结合医院,
,Zhiyuan Chen,上海市,虹口区,虹口区,上海市第四人民医院,
,Zhiyuan Chen,上海市,虹口区,虹口区,虹口区江湾医院,
,Zhiyuan Chen,上海市,普陀区,普陀区,上海市同济医院,
,Zhiyuan Chen,上海市,普陀区,普陀区,上海市儿童医院,
,Zhiyuan Chen,上海市,普陀区,普陀区,普陀区中心医院,
,Zhiyuan Chen,上海市,普陀区,普陀区,普陀区人民医院,
,Zhiyuan Chen,上海市,普陀区,普陀区,普陀区利群医院,
,Zhiyuan Chen,上海市,浦东新区,浦东新区,上海市东方医院,
,Zhiyuan Chen,上海市,浦东新区,浦东新区,上海市第七人民医院,
,Zhiyuan Chen,上海市,浦东新区,浦东新区,浦东新区周浦医院,
,Zhiyuan Chen,上海市,浦东新区,浦东新区,浦东新区公利医院,
,Zhiyuan Chen,上海市,浦东新区,浦东新区,浦东新区人民医院,
,Zhiyuan Chen,上海市,浦东新区,浦东新区,上海市浦东医院,
