id,AlisaGY,province,city,suburb,name,address,phone(可不填）
,AlisaGY,陕西省,西安市,灞桥区,兵器工业五二一医院,田洪正街303号,029-83608315 
,AlisaGY,陕西省,西安市,灞桥区,西安医学院第二附属医院,西安市灞桥区东郊纺织城纺东街167号,029-83553606
,咔嘻,陕西省,西安市,灞桥区,唐都医院,新寺路1号,029-84777777
,AlisaGY,陕西省,西安市,碑林区,西安市第九医院,西安市碑林区南二环路东段151号,029-82322257,029-82322548
,AlisaGY,陕西省,西安市,碑林区,陕西省友谊医院,陕西省西安市友谊西路277号,029-85360950
,AlisaGY,陕西省,西安市,碑林区,通用环球中铁西安医院,西安市碑林区南二环东段319号,029-87865777
,咔嘻,陕西省,西安市,碑林区,陕西省人民医院,西安市友谊西路256号,029-85251331
,AlisaGY,陕西省,西安市,高陵区,高陵区医院,西安市高陵区鹿苑大道与上林二路十字东北角,029-86912158
,AlisaGY,陕西省,西安市,鄠邑区,鄠邑区人民医院,西安市鄠邑区渼陂西路5号,
,AlisaGY,陕西省,西安市,蓝田县,蓝田县人民医院,西安市蓝田县滋水路,
,AlisaGY,陕西省,西安市,蓝田县,陕西航天医院,蓝田县大寨乡,029-83601065
,AlisaGY,陕西省,西安市,莲湖区,西安大兴医院,西安市莲湖区劳动北路353号,029-86311275
,咔嘻,陕西省,西安市,莲湖区,西安医学院第一附属医院,西安市莲湖区沣镐西路48号,029-84277356
,咔嘻,陕西省,西安市,莲湖区,西电集团医院,西安市丰登路97号,
,咔嘻,陕西省,西安市,莲湖区,西安市儿童医院,西安市西举院巷69号,029-87311818
,咔嘻,陕西省,西安市,莲湖区,西安市第五医院,外西关正街112号,
,AlisaGY,陕西省,西安市,临潼区,临潼区人民医院,西安市临潼区西关正街2号,029-83812134?
,AlisaGY,陕西省,西安市,秦渡镇,西安医专附属医院,秦渡镇17号(西安医学高等专科学校旁)西安医专附属医院附近,
,咔嘻,陕西省,西安市,未央区,西安市第三医院,西安市未央区渭滨路-凤城三路,
,咔嘻,陕西省,西安市,未央区,西安市中医医院,西安市凤城八路69号,
,咔嘻,陕西省,西安市,未央区,长安医院,西安市经济技术开发区文景路17号,
,AlisaGY,陕西省,西安市,新城区,西安市中心医院,西安市新城区西五路161号,
,咔嘻,陕西省,西安市,新城区,西安交通大学第二附属医院,西安市市区内西五路157号,
,咔嘻,陕西省,西安市,新城区,陕西省第二人民医院,西安市新城区尚勤路3号,029-87421012
,咔嘻,陕西省,西安市,新城区,陕西省第四人民医院,?西安市新城区咸宁东路512号,029-82626314
,咔嘻,陕西省,西安市,新城区,西京医院,新城区长乐西路127号,
,AlisaGY,陕西省,西安市,阎良区,阎良区人民医院,西安市阎良区胜利路康复街9号,029-86202386
,AlisaGY,陕西省,西安市,雁塔区,陕西省传染病院（西安市第八医院）,陕西省西安市雁塔区丈八东路,029-85262171
,AlisaGY,陕西省,西安市,雁塔区,西安高新医院,西安市雁塔区团结南路16号,029-88330120
,咔嘻,陕西省,西安市,雁塔区,西安交通大学第一附属医院,西安市雁塔西路277号,
,咔嘻,陕西省,西安市,雁塔区,西安市第八医院,西安市丈八东路2号,
,咔嘻,陕西省,西安市,长安区,陕西省结核病防治院,长安区太乙宫镇上湾村甲字1号,
,咔嘻,陕西省,西安市,长安区,西安市胸科医院,陕西省西安市长安区航天大道,029-62500316
,咔嘻,陕西省,西安市,长安区,西安国际医学中心医院,西太一级公路东50米,
,AlisaGY,陕西省,西安市,周至县,周至县人民医院,陕西省西安市周至县二曲镇老城东街9号,029-87111917
,咔嘻,陕西省,铜川市,王益区,铜川市人民医院（北院）,?铜川市王益区健康路12号,(0919)2158913
,咔嘻,陕西省,铜川市,王益区,铜川矿务局中心医院（北院）,铜川市王益区川口路15号,(0919)2169384
,AlisaGY,陕西省,铜川市,耀州区,耀州区人民医院,铜川市耀州区华原路中段北侧,0919-6281030
,咔嘻,陕西省,铜川市,耀州区,铜川市人民医院（南院）,铜川市耀州区鸿基东路东50米,
,咔嘻,陕西省,铜川市,耀州区,铜川市中医医院（南院）, 陕西省铜川市耀州区长虹北路25号,
,AlisaGY,陕西省,铜川市,宜君县,宜君县人民医院,铜川市宜君县城关街道宜阳中街,0919-5281122,0919-5285364
,AlisaGY,陕西省,宝鸡市,滨河新区,眉县人民医院,宝鸡市眉县守善镇眉坞大道东段(逸城乐园对面),
,AlisaGY,陕西省,宝鸡市,陈仓区,宝鸡市陈仓医院,宝鸡市陈仓区西大街330号,0917-8906008
,AlisaGY,陕西省,宝鸡市,凤翔县,凤翔县医院,宝鸡市凤翔县城秦凤路22号,0917-7212734
,AlisaGY,陕西省,宝鸡市,扶风县,扶风县人民医院,宝鸡市扶风县县城新区西大街,0917-5211512,0917-5211990
,AlisaGY,陕西省,宝鸡市,金台区,宝鸡市金台医院,宝鸡市金台区人民路5号,0917-3513497
,咔嘻,陕西省,宝鸡市,金台区,宝鸡市中医医院,宝鸡市金台区宝福路43号,(0917)3662894
,AlisaGY,陕西省,宝鸡市,麟游县,麟游县医院,宝鸡市麟游县官坪新区永安路,0917-7960420
,AlisaGY,陕西省,宝鸡市,陇县,陇县人民医院,宝鸡市陇县城关镇北关路24号,0917-4604695
,AlisaGY,陕西省,宝鸡市,岐山县,岐山县医院,宝鸡市岐山县凤鸣镇东关街19号,0917-8212484
,AlisaGY,陕西省,宝鸡市,千阳县,千阳县人民医院,宝鸡市千阳县城关镇南关路12号,0917-4241844
,AlisaGY,陕西省,宝鸡市,市凤县,凤县医院,宝鸡市凤县双石铺镇凤中路18号,0917-4762325,0917-4806338,0917-4806309
,AlisaGY,陕西省,宝鸡市,太白县,太白县医院,宝鸡市太白县北大街汉源路63号,0917-4951195,0917-8651009
,AlisaGY,陕西省,宝鸡市,渭滨区,高新人民医院,宝鸡市渭滨区高新四路19号,0917-3120120,0917-3532580
,咔嘻,陕西省,宝鸡市,渭滨区,宝鸡市人民医院,陕西省宝鸡市经二路新华巷24号,
,咔嘻,陕西省,宝鸡市,渭滨区,宝鸡市中心医院,陕西省宝鸡市姜谭路8号,
,AlisaGY,陕西省,咸阳市,彬州市,彬州市人民医院,咸阳市彬州市县城西大街,029-34929496
,AlisaGY,陕西省,咸阳市,彬州市,彬州市中医医院,咸阳市彬州市泾河新区社保大厦斜对面,029-34922133
,AlisaGY,陕西省,咸阳市,淳化县,淳化县医院,咸阳市淳化县城关镇人民街中段淳化财政局东侧,029-32772768
,AlisaGY,陕西省,咸阳市,泾阳县,泾阳县医院,咸阳市泾阳县北极宫大街中段116号,029-36222413
,AlisaGY,陕西省,咸阳市,礼泉县,礼泉县人民医院,咸阳市礼泉县市政街23号,029-35614336
,AlisaGY,陕西省,咸阳市,乾县,乾县人民医院,咸阳市乾县城关镇泰山庙街34号,029-35521323
